,Year_Birth,Education,Marital_Status,income,Kidhome,Teenhome,segment
502,1944,Graduation,Married,55956.0,0,0,3
515,1986,PhD,Married,45921.0,0,0,3
517,1960,Master,Single,98777.0,0,0,3
518,1960,Master,Single,98777.0,0,0,3
522,1982,Graduation,Married,65169.0,0,0,3
524,1945,Graduation,Married,69755.0,0,0,3
527,1977,Graduation,Together,666666.0,1,0,3
533,1987,PhD,Single,42000.0,0,0,3
534,1987,PhD,Single,42000.0,0,0,3
536,1946,PhD,Single,82800.0,0,0,3
537,1946,PhD,Single,82800.0,0,0,3
566,1978,Master,Married,88097.0,1,0,3
568,1974,Graduation,Single,43322.0,0,0,3
574,1970,Graduation,Married,90765.0,0,0,3
575,1944,Graduation,Married,80589.0,0,0,3
577,1978,Graduation,Together,75437.0,0,0,3
587,1982,Graduation,Together,61416.0,0,0,3
588,1975,Master,Married,92163.0,0,0,3
598,1965,Graduation,Together,71613.0,0,0,3
602,1974,Master,Married,82584.0,0,0,3
607,1956,Master,Married,90226.0,0,0,3
616,1988,Master,Single,90247.0,0,0,3
617,1960,2n Cycle,Single,32218.0,0,0,3
618,1988,Graduation,Married,84219.0,0,0,3
619,1988,Graduation,Married,84219.0,0,0,3
623,1953,Graduation,Divorced,62551.0,0,0,3
624,1983,PhD,Together,70123.0,0,0,3
629,1981,PhD,Married,87171.0,0,0,3
637,1962,Graduation,Together,72025.0,0,0,3
639,1991,2n Cycle,Single,61618.0,0,0,3
640,1965,Graduation,Married,77343.0,0,0,3
653,1984,PhD,Single,82733.0,0,0,3
657,1978,2n Cycle,Together,63855.0,0,0,3
664,1966,Graduation,Single,33279.0,0,0,3
668,1981,Master,Together,77882.0,0,0,3
669,1960,Graduation,Together,78468.0,0,0,3
671,1991,Master,Single,90638.0,0,0,3
672,1991,Master,Single,90638.0,0,0,3
681,1982,Graduation,Together,71853.0,0,0,3
682,1982,Graduation,Together,71853.0,0,0,3
687,1994,Graduation,Single,95529.0,0,0,3
696,1977,2n Cycle,Together,82326.0,0,0,3
697,1995,Graduation,Single,71163.0,0,0,3
710,1982,Graduation,Married,79908.0,0,0,3
711,1986,PhD,Single,69867.0,0,0,3
712,1966,Graduation,Divorced,70287.0,0,0,3
724,1986,Graduation,Married,83512.0,0,0,3
731,1976,PhD,Together,162397.0,1,1,3
734,1981,PhD,Together,44953.0,0,0,3
739,1953,Graduation,Single,69267.0,0,0,3
741,1958,Graduation,Single,68281.0,0,0,3
742,1960,2n Cycle,Together,92556.0,0,0,3
744,1991,Graduation,Single,90273.0,0,0,3
747,1951,PhD,Married,53312.0,0,0,3
749,1961,Graduation,Together,88347.0,0,0,3
750,1983,PhD,Married,50150.0,0,0,3
751,1983,PhD,Married,50150.0,0,0,3
761,1980,Graduation,Married,82497.0,0,0,3
762,1963,2n Cycle,Married,32632.0,0,0,3
769,1965,2n Cycle,Married,76800.0,0,0,3
770,1987,Graduation,Married,75794.0,0,0,3
773,1981,Graduation,Single,91065.0,0,0,3
774,1962,Master,Single,45183.0,0,0,3
800,1972,Master,Married,75251.0,0,0,3
803,1959,Graduation,Married,87195.0,0,0,3
805,1966,Graduation,Together,82427.0,0,0,3
807,1951,Graduation,Married,94642.0,0,0,3
810,1973,Graduation,Married,92955.0,0,0,3
813,1970,Master,Divorced,78579.0,0,0,3
816,1964,PhD,Divorced,78825.0,0,0,3
830,1959,Graduation,Married,35701.0,0,0,3
831,1983,Master,Single,89616.0,0,0,3
832,1970,Graduation,Together,105471.0,0,0,3
851,1991,Graduation,Married,51373.0,0,0,3
853,1971,Master,Together,157733.0,1,0,3
855,1984,Graduation,Single,79607.0,0,0,3
866,1966,PhD,Single,69759.0,0,0,3
878,1957,2n Cycle,Married,82347.0,0,0,3
879,1957,2n Cycle,Married,82347.0,0,0,3
887,1965,Graduation,Married,61482.0,0,0,3
906,1989,PhD,Together,77845.0,0,0,3
911,1953,Graduation,Single,73892.0,0,0,3
912,1992,Graduation,Together,75114.0,0,0,3
913,1948,Graduation,Married,42192.0,0,0,3
918,1972,Graduation,Married,80134.0,1,0,3
919,1972,Graduation,Married,80134.0,1,0,3
924,1991,PhD,Single,68126.0,0,0,3
927,1976,Graduation,Single,75825.0,0,0,3
933,1965,2n Cycle,Married,70924.0,0,0,3
934,1965,2n Cycle,Married,70924.0,0,0,3
936,1976,Master,Divorced,75012.0,0,0,3
937,1978,Master,Together,85738.0,0,0,3
947,1986,Graduation,Married,92910.0,0,0,3
949,1974,PhD,Together,79632.0,0,0,3
951,1981,Graduation,Together,88325.0,0,0,3
953,1952,2n Cycle,Divorced,63998.0,0,0,3
960,1976,Master,Single,70893.0,0,0,3
962,1957,Graduation,Single,64849.0,0,0,3
964,1995,2n Cycle,Single,80617.0,0,0,3
969,1965,PhD,Married,81051.0,0,0,3
973,1970,Graduation,Together,81205.0,0,0,3
974,1970,PhD,Married,69084.0,1,0,3
975,1970,PhD,Married,69084.0,1,0,3
988,1951,2n Cycle,Married,78497.0,0,0,3
989,1951,2n Cycle,Married,78497.0,0,0,3
992,1961,Master,Married,80950.0,0,0,3
994,1966,2n Cycle,Single,89572.0,0,0,3
996,1970,Graduation,Single,76467.0,1,0,3
1002,1970,Graduation,Married,70617.0,0,0,3
1010,1982,Graduation,Single,68627.0,0,0,3
1017,1949,Graduation,Married,72025.0,0,0,3
1021,1961,Graduation,Single,45938.0,0,0,3
1022,1988,Graduation,Single,66951.0,0,0,3
1026,1969,Graduation,Married,75759.0,0,0,3
1043,1992,Master,Single,92859.0,0,0,3
1045,1963,Graduation,Married,80124.0,0,0,3
1046,1963,Graduation,Married,80124.0,0,0,3
1054,1947,Master,Single,91712.0,0,0,3
1055,1975,Graduation,Together,80144.0,0,0,3
1056,1972,PhD,Married,59973.0,0,0,3
1058,1975,Master,Single,81169.0,0,0,3
1085,1988,Graduation,Married,68487.0,0,0,3
1086,1988,Graduation,Married,68487.0,0,0,3
1091,1961,Graduation,Single,82014.0,0,0,3
1101,1978,Graduation,Together,70440.0,0,0,3
1107,1957,Graduation,Married,62187.0,0,0,3
1139,1963,Graduation,Single,30983.0,0,0,3
1159,1954,Graduation,Married,62820.0,0,0,3
1160,1954,Graduation,Married,62820.0,0,0,3
1168,1967,Master,Divorced,81380.0,0,0,3
1178,1958,Graduation,Married,72905.0,0,0,3
1189,1974,Graduation,Together,56715.0,0,0,3
1198,1982,2n Cycle,Single,74116.0,0,0,3
1214,1977,Graduation,Divorced,82582.0,0,0,3
1227,1982,PhD,Together,70038.0,0,0,3
1228,1982,PhD,Together,70038.0,0,0,3
1229,1971,Graduation,Together,71796.0,0,0,3
1235,1955,2n Cycle,Married,72635.0,0,0,3
1236,1955,2n Cycle,Married,72635.0,0,0,3
1237,1948,Graduation,Married,77142.0,0,0,3
1240,1973,Graduation,Together,73926.0,0,0,3
1244,1977,PhD,Together,102160.0,0,0,3
1246,1981,Graduation,Single,72066.0,0,0,3
1263,1994,Graduation,Together,80685.0,0,0,3
1269,1979,Graduation,Together,75507.0,0,0,3
1270,1979,Graduation,Together,75507.0,0,0,3
1271,1951,Master,Married,59412.0,0,0,3
1275,1984,PhD,Married,73356.0,0,0,3
1278,1969,Graduation,Married,72460.0,0,0,3
1279,1991,PhD,Together,68682.0,0,0,3
1280,1991,PhD,Together,68682.0,0,0,3
1293,1949,PhD,Married,80360.0,0,0,3
1296,1956,Graduation,Single,60714.0,0,0,3
1298,1995,2n Cycle,Single,83257.0,0,0,3
1307,1951,PhD,Married,78939.0,0,0,3
1310,1948,Graduation,Single,90842.0,0,0,3
1333,1952,Graduation,Divorced,82623.0,0,0,3
1338,1971,Graduation,Single,91700.0,0,0,3
1339,1993,Graduation,Absurd,79244.0,0,0,3
1340,1957,PhD,Married,82017.0,0,0,3
1341,1957,Graduation,Single,58138.0,0,0,3
1356,1951,Graduation,Single,80872.0,0,0,3
1357,1956,PhD,Married,84117.0,0,0,3
1360,1968,Graduation,Single,75922.0,0,0,3
1364,1973,Graduation,Married,65308.0,0,0,3
1368,1990,Graduation,Single,96843.0,0,0,3
1369,1986,PhD,Married,82333.0,0,0,3
1375,1987,PhD,Married,51563.0,0,0,3
1376,1976,Master,Married,81929.0,1,0,3
1392,1958,Graduation,Married,81320.0,0,0,3
1393,1992,2n Cycle,Married,87000.0,0,0,3
1400,1973,PhD,Married,85844.0,0,0,3
1403,1955,Graduation,Married,80395.0,0,0,3
1404,1988,Graduation,Together,87679.0,0,0,3
1408,1953,Graduation,Together,94384.0,0,0,3
1409,1953,Graduation,Together,94384.0,0,0,3
1415,1978,PhD,Married,72159.0,0,0,3
1428,1959,Graduation,Divorced,52332.0,0,0,3
1444,1965,PhD,Married,69969.0,0,0,3
1445,1955,Graduation,Single,80317.0,0,0,3
1450,1960,Graduation,Married,79530.0,0,0,3
1456,1976,Master,Single,72309.0,0,0,3
1459,1975,PhD,Married,76618.0,0,0,3
1465,1966,Master,Married,49605.0,0,0,3
1469,1974,Master,Married,63206.0,0,0,3
1475,1943,Master,Married,65073.0,0,0,3
1481,1976,2n Cycle,Single,79689.0,0,0,3
1491,1974,PhD,Married,38410.0,0,0,3
1494,1993,Graduation,Single,74293.0,0,0,3
1495,1993,Graduation,Single,74293.0,0,0,3
1503,1985,Graduation,Married,70951.0,0,0,3
1507,1984,PhD,Married,70643.0,0,0,3
1509,1959,Master,Together,82576.0,0,0,3
1511,1984,Graduation,Married,72570.0,0,0,3
1514,1971,PhD,Divorced,86979.0,0,0,3
1516,1970,PhD,Together,82072.0,0,0,3
1518,1993,Graduation,Single,72354.0,0,0,3
1532,1965,Graduation,Single,66294.0,0,0,3
1541,1945,PhD,Married,65846.0,0,0,3
1544,1992,Graduation,Together,63207.0,0,0,3
1547,1971,Graduation,Married,52531.0,0,0,3
1551,1985,Graduation,Single,70596.0,0,0,3
1552,1985,Graduation,Single,70596.0,0,0,3
1555,1969,Graduation,Single,81657.0,0,0,3
1559,1955,Master,Divorced,70638.0,0,0,3
1564,1983,Graduation,Single,101970.0,0,0,3
1569,1973,Graduation,Married,79593.0,0,0,3
1570,1973,Graduation,Married,79593.0,0,0,3
1573,1963,Graduation,Married,77437.0,0,0,3
1578,1951,Graduation,Single,72282.0,0,0,3
1587,1981,Graduation,Single,58684.0,0,0,3
1601,1987,Master,Divorced,61787.0,0,0,3
1607,1983,PhD,Married,92491.0,0,0,3
1613,1986,2n Cycle,Single,80910.0,0,0,3
1615,1970,Master,Single,44802.0,0,0,3
1616,1976,Graduation,Single,79941.0,0,0,3
1617,1969,Master,Married,79734.0,0,0,3
1618,1977,Master,Married,50353.0,0,0,3
1620,1972,PhD,Married,78075.0,0,0,3
1625,1986,PhD,Together,91820.0,0,0,3
1628,1952,Graduation,Single,84574.0,0,0,3
1629,1969,Graduation,Together,54165.0,0,0,3
1633,1983,PhD,Married,86580.0,0,0,3
1641,1972,PhD,Married,79930.0,0,0,3
1643,1958,2n Cycle,Single,85485.0,0,0,3
1644,1943,PhD,Married,75865.0,0,0,3
1647,1959,Graduation,Married,65492.0,0,0,3
1650,1970,Graduation,Single,61209.0,0,0,3
1651,1967,Graduation,Together,66825.0,0,0,3
1652,1983,PhD,Single,87188.0,0,0,3
1654,1954,PhD,Single,74637.0,0,0,3
1655,1962,Graduation,Married,86111.0,0,0,3
1658,1972,PhD,Married,70116.0,0,0,3
1659,1969,PhD,Single,48240.0,0,0,3
1661,1953,Graduation,Married,70503.0,0,0,3
1662,1975,Graduation,Married,79205.0,0,0,3
1670,1985,Graduation,Single,72903.0,0,0,3
1685,1974,PhD,Single,63159.0,0,0,3
1687,1952,Graduation,Married,81795.0,0,0,3
1691,1979,Graduation,Single,70337.0,0,0,3
1699,1966,PhD,Single,78420.0,0,0,3
1700,1980,Graduation,Single,81741.0,0,0,3
1712,1955,PhD,Single,61284.0,0,0,3
1715,1983,Graduation,Divorced,82025.0,0,0,3
1717,1958,Graduation,Married,48192.0,0,0,3
1735,1989,Graduation,Single,81217.0,0,0,3
1736,1989,Graduation,Single,81217.0,0,0,3
1738,1970,2n Cycle,Divorced,65706.0,0,0,3
1740,1941,PhD,Married,93027.0,0,0,3
1752,1959,Master,Together,89120.0,0,0,3
1757,1950,Graduation,Divorced,82460.0,0,0,3
1758,1960,PhD,Single,76045.0,0,0,3
1759,1975,Graduation,Divorced,83829.0,0,0,3
1760,1975,Graduation,Divorced,83829.0,0,0,3
1765,1972,Graduation,Married,77981.0,1,0,3
1767,1969,Graduation,Together,74918.0,0,0,3
1769,1956,Master,Single,64857.0,0,0,3
1770,1956,Master,Single,64857.0,0,0,3
1773,1982,2n Cycle,Together,66664.0,0,0,3
1774,1982,2n Cycle,Together,66664.0,0,0,3
1783,1955,Graduation,Single,72906.0,0,0,3
1785,1977,Graduation,Together,96876.0,0,0,3
1788,1954,Graduation,Divorced,76773.0,0,0,3
1789,1965,Graduation,Married,72190.0,0,0,3
1790,1948,PhD,Married,83837.0,0,0,3
1793,1961,Basic,Married,28249.0,0,0,3
1794,1961,Basic,Married,28249.0,0,0,3
1795,1980,Master,Married,69661.0,0,0,3
1811,1972,Master,Married,83151.0,0,0,3
1826,1975,Graduation,Divorced,153924.0,0,0,3
1830,1948,Master,Married,83790.0,0,0,3
1839,1958,Graduation,Divorced,71964.0,0,0,3
1846,1967,Graduation,Divorced,68743.0,0,0,3
1853,1959,Graduation,Divorced,63033.0,0,0,3
1856,1954,Graduation,Married,80067.0,0,0,3
1864,1949,PhD,Married,69098.0,0,0,3
1873,1969,PhD,Single,66582.0,0,0,3
1875,1964,Graduation,Married,82224.0,0,0,3
1886,1955,Graduation,Married,74268.0,0,0,3
1894,1965,Graduation,Married,81168.0,0,0,3
1900,1985,Graduation,Married,92533.0,0,0,3
1906,1987,Graduation,Together,67605.0,0,0,3
1908,1957,2n Cycle,Divorced,77297.0,0,0,3
1913,1956,Graduation,Single,91249.0,0,0,3
1914,1978,2n Cycle,Together,52513.0,0,0,3
1916,1962,Graduation,Together,76081.0,0,0,3
1917,1962,Graduation,Together,76081.0,0,0,3
1920,1947,Graduation,Single,77457.0,0,0,3
1921,1963,Graduation,Single,80695.0,0,0,3
1923,1982,Master,Together,73450.0,0,0,3
1925,1949,PhD,Married,156924.0,0,0,3
1931,1971,Master,Together,80573.0,0,0,3
1932,1971,Master,Together,80573.0,0,0,3
1935,1974,PhD,Single,71466.0,0,0,3
1948,1946,PhD,Married,51012.0,0,0,3
1949,1946,PhD,Married,51012.0,0,0,3
1959,1989,Master,Together,88420.0,0,0,3
1962,1964,Graduation,Single,81246.0,0,0,3
1965,1967,Graduation,Together,65777.0,0,0,3
1977,1965,2n Cycle,Together,71488.0,0,0,3
1978,1952,Graduation,Single,72228.0,0,0,3
1982,1957,Graduation,Married,78618.0,0,0,3
1989,1958,Graduation,Married,51876.0,0,0,3
1991,1962,PhD,Divorced,85696.0,0,0,3
1992,1962,PhD,Divorced,85696.0,0,0,3
2006,1972,PhD,Together,83443.0,0,0,3
2011,1962,2n Cycle,Together,82122.0,0,0,3
2021,1961,Graduation,Single,82332.0,0,0,3
2024,1954,PhD,Single,90933.0,0,0,3
2031,1954,Graduation,Married,59111.0,0,0,3
2036,1988,PhD,Married,67546.0,0,0,3
2037,1988,PhD,Married,67546.0,0,0,3
2040,1971,2n Cycle,Divorced,49118.0,0,0,3
2043,1981,Graduation,Divorced,56981.0,0,0,3
2045,1984,Graduation,Married,90000.0,0,0,3
2055,1969,Graduation,Together,76653.0,0,0,3
2060,1952,Graduation,Single,75127.0,0,0,3
2061,1952,Graduation,Single,75127.0,0,0,3
2074,1958,Master,Married,80739.0,0,0,3
2079,1966,Graduation,Married,80398.0,0,0,3
2091,1978,Graduation,Married,67023.0,0,0,3
2092,1978,Graduation,Married,77583.0,0,0,3
2093,1983,Graduation,Married,76630.0,0,0,3
2099,1962,Master,Single,72217.0,0,0,3
2105,1971,2n Cycle,Married,78041.0,0,0,3
2109,1960,Master,Together,83151.0,0,0,3
2112,1977,Graduation,Single,85072.0,0,0,3
2113,1987,Master,Married,73395.0,0,0,3
2119,1965,Master,Single,69882.0,0,0,3
2125,1990,Master,Single,91172.0,0,0,3
2129,1979,Graduation,Married,71626.0,0,0,3
2137,1987,Master,Single,73454.0,0,0,3
2145,1983,Graduation,Married,69520.0,0,0,3
2150,1991,Graduation,Single,86037.0,0,0,3
2151,1978,Graduation,Divorced,71847.0,0,0,3
2154,1988,Graduation,Single,68655.0,0,0,3
2155,1988,Graduation,Single,68655.0,0,0,3
2157,1970,Master,Together,79419.0,0,0,3
2159,1964,Graduation,Married,42523.0,0,0,3
2160,1964,Graduation,Married,42523.0,0,0,3
2166,1965,PhD,Married,84618.0,0,0,3
2167,1965,PhD,Married,84618.0,0,0,3
2178,1972,PhD,Single,86857.0,0,0,3
2179,1972,PhD,Single,86857.0,0,0,3
2204,1973,PhD,Married,157243.0,0,1,3
2207,1972,Graduation,Together,84906.0,0,0,3
2208,1972,Graduation,Together,84906.0,0,0,3
2212,1983,PhD,Divorced,90687.0,0,0,3
2213,1989,PhD,Together,66973.0,0,0,3
2215,1968,Graduation,Married,64590.0,0,0,3
2219,1980,Graduation,Divorced,81702.0,0,0,3
2226,1974,Graduation,Single,69719.0,0,0,3
2238,1978,Graduation,Married,65819.0,0,0,3
